team,points,gf,ga,gd,group
Mexico,9,6,0,6,A
Canada,7,10,3,7,B
Brazil,7,7,1,6,C
United States,6,7,3,4,D
Ivory Coast,9,5,1,4,E
Japan,7,8,3,5,F
Belgium,5,5,4,1,G
Spain,5,5,1,4,H
France,6,4,2,2,I
Argentina,9,10,2,8,J
Colombia,9,8,3,5,K
England,6,8,4,4,L
South Africa,4,4,4,0,A
Switzerland,4,7,5,2,B
Morocco,7,6,2,4,C
Australia,6,5,2,3,D
Ecuador,6,6,2,4,E
Netherlands,5,5,3,2,F
New Zealand,3,4,4,0,G
Uruguay,5,5,1,4,H
Senegal,4,6,3,3,I
Jordan,3,5,6,-1,J
Uzbekistan,4,5,6,-1,K
Croatia,4,6,5,1,L
Paraguay,6,5,6,-1,D
Norway,4,4,2,2,I
Panama,4,3,3,0,L
Bosnia and Herzegovina,4,5,6,-1,B
Cape Verde,4,3,5,-2,H
Germany,3,8,6,2,E
Egypt,3,2,2,0,G
Sweden,3,6,7,-1,F
